期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000074,103/09/02,"95,693,450","100,233,247",39,36,43,7,8,42,22,0,0,"66,336,716",0,28,82,"1,592","2,424",0,"30,165",0,"122,597","23,256","4,552","1,000",0,400,"6,819,869",0,0
103000091,103/10/31,"104,677,500","136,019,792",14,8,27,49,10,2,20,0,0,"89,236,837",1,51,124,"2,396","3,240","28,349","39,188","10,791,411","32,138","8,812","1,254","1,000",400,400,0,0,0
103000090,103/10/28,"100,440,550","109,200,021",16,32,25,5,37,44,21,0,0,"69,294,825",0,32,104,"1,610","2,395","24,071","30,549",0,"58,123","11,922","2,117","1,000",400,400,"9,152,342",0,0
103000089,103/10/24,"103,306,350","85,366,579",36,1,20,45,17,37,15,0,0,"46,665,335",0,32,81,"1,661","2,280","24,844","31,092",0,"60,307","15,883","2,130","1,000",400,400,"7,292,384",0,0
103000088,103/10/21,"99,453,500","58,156,303",31,44,42,28,14,38,45,0,0,"23,185,548",0,28,87,"1,593","2,132","21,945","30,071",0,"68,059","14,602","2,193","1,000",400,400,"5,362,539",0,0
103000087,103/10/17,"103,650,200","135,618,981",32,36,33,2,20,11,39,1,"100,000,000",0,0,29,71,"1,924","2,442","24,212","33,577",0,"65,068","17,718","1,798","1,000",400,400,"3,456,878",0,0
103000086,103/10/14,"101,116,450","55,614,047",47,36,20,9,14,10,8,0,0,"19,100,192",0,48,107,"2,238","3,133","30,279","35,512",0,"32,705","9,781","1,286","1,000",400,400,"1,569,878",0,0
103000085,103/10/10,"95,572,000","134,127,282",11,26,1,24,28,19,33,1,"100,000,000",0,3,41,79,"1,981","2,602","26,327","35,438","505,132","36,960","12,788","1,402","1,000",400,400,0,0,0
103000084,103/10/07,"102,854,600","56,570,030",45,40,17,47,18,41,29,0,0,"24,302,743",2,26,75,"1,536","2,201","23,311","29,383","998,742","76,826","17,755","2,384","1,000",400,400,0,0,0
103000083,103/10/03,"108,018,400","150,895,455",10,14,19,37,24,35,39,2,"55,512,668",0,2,36,77,"1,934","2,617","26,239","36,137","2,807,873","53,071","16,541","1,811","1,000",400,400,0,0,0
103000099,103/11/28,"104,249,600","57,337,280",35,44,1,40,10,21,36,0,0,"23,736,738",1,35,81,"1,585","2,352","24,442","31,731","1,950,964","55,741","16,057","2,256","1,000",400,400,0,0,0
103000098,103/11/25,"144,285,700","320,892,077",15,32,16,1,44,48,40,2,"138,362,345",0,1,31,101,"2,175","2,944","29,145","41,375","2,892,308","93,300","19,091","2,437","1,000",400,400,0,0,0
103000097,103/11/21,"137,759,000","285,472,166",3,32,2,34,26,22,40,0,0,"241,534,942",2,38,100,"2,337","2,810","29,751","43,635","1,308,091","68,846","17,441","2,052","1,000",400,400,0,0,0
103000096,103/11/18,"123,248,900","256,386,049",12,20,43,11,28,26,6,0,0,"209,704,716",1,65,156,"2,466","3,850","36,060","43,814","4,164,400","29,526","8,201","1,426","1,000",400,400,0,0,0
103000095,103/11/14,"116,312,350","223,009,627",44,15,41,29,16,34,49,0,0,"186,353,991",0,43,108,"2,010","2,448","24,412","35,849",0,"52,213","13,859","2,047","1,000",400,400,"2,245,163",0,0
103000094,103/11/11,"112,944,800","198,937,560",18,23,11,36,5,43,14,0,0,"159,037,835",1,53,122,"2,568","3,163","30,003","41,293","1,826,294","34,458","9,979","1,303","1,000",400,400,0,0,0
103000093,103/11/07,"110,992,150","175,082,582",49,25,40,27,19,11,33,0,0,"136,817,920",1,45,106,"1,867","2,645","27,244","34,290","3,910,773","45,049","12,749","1,990","1,000",400,400,0,0,0
103000092,103/11/04,"101,302,700","144,953,322",20,38,3,35,30,41,47,0,0,"112,153,351",0,23,84,"1,737","2,244","22,875","32,325",0,"81,893","14,948","1,988","1,000",400,400,"1,883,549",0,0
103000108,103/12/30,"139,737,900","244,845,838",48,49,7,44,32,30,45,0,0,"201,055,521",0,52,99,"2,344","3,215","29,986","40,878",0,"52,263","18,301","2,125","1,000",400,400,"2,717,714",0,0
